heaps,workers_per_heap,total_workers,max_drift_ms,p99_drift_ms,p95_drift_ms,p50_drift_ms,mean_drift_ms,throughput_rps,delivery_rate_pct
1,1,1,52.994,52.688,51.477,35.395,32.981,1808.32,100.00
1,2,2,39.463,39.238,38.384,24.820,23.193,1853.68,100.00
1,4,4,26.917,26.707,25.942,15.486,15.386,1897.81,100.00
1,8,8,19.373,19.161,18.720,10.665,10.734,1925.38,100.00
1,16,16,30.456,30.268,29.511,18.190,18.074,1885.13,100.00
2,1,2,42.331,42.045,41.172,27.612,26.366,1843.87,100.00
2,2,4,18.451,18.217,17.628,10.993,10.353,1928.80,100.00
2,4,8,19.717,19.299,18.453,10.847,10.682,1924.07,100.00
2,8,16,26.091,25.908,24.925,14.118,14.275,1900.80,100.00
2,16,32,26.042,25.776,24.531,15.300,15.022,1900.94,100.00
4,1,4,27.923,27.457,26.375,14.968,15.095,1894.18,100.00
4,2,8,20.208,19.962,18.924,10.224,10.170,1922.28,100.00
4,4,16,25.295,24.934,23.875,14.628,14.376,1903.66,100.00
4,8,32,24.008,23.665,22.729,12.769,12.739,1908.35,100.00
4,16,64,29.089,28.224,26.970,15.980,16.068,1889.98,100.00
8,1,8,29.369,28.843,27.552,15.500,15.505,1889.00,100.00
8,2,16,33.037,32.767,31.887,18.129,18.163,1876.01,100.00
8,4,32,30.710,30.387,29.436,17.911,18.212,1884.16,100.00
8,8,64,37.284,36.795,36.010,26.587,24.664,1861.13,100.00
8,16,128,26.594,25.980,25.153,14.743,15.019,1898.97,100.00
16,1,16,37.011,34.965,32.291,20.173,19.613,1862.12,100.00
16,2,32,25.276,25.002,23.937,14.781,14.293,1903.72,100.00
16,4,64,31.174,30.888,30.109,18.602,18.604,1882.57,100.00
16,8,128,32.901,32.217,31.093,19.651,19.417,1876.49,100.00
16,16,256,35.415,35.135,33.775,21.210,21.646,1867.67,100.00
